Glosa_Producto
ARROZ
HARINA DE TRIGO
HARINA DE OTROS CEREALES
PAN
PRODUCTOS DE REPOSTERÍA
GALLETAS
MASAS SALADAS PREPARADAS
CEREALES PARA EL DESAYUNO
PASTAS
SNACKS
CARNE DE VACUNO
CARNE DE POLLO
CARNE DE CERDO
CARNE DE PAVO
CECINAS
HAMBURGUESAS
CARNES APANADAS
PESCADOS FRESCOS O REFRIGERADOS
PESCADOS EN CONSERVA
MARISCOS FRESCOS O REFRIGERADOS
MARISCOS EN CONSERVA
LECHE LÍQUIDA
LECHE EN POLVO
CREMAS Y LECHES CONSERVADAS
BEBIDAS VEGETALES
QUESOS
YOGURES Y PRODUCTOS SIMILARES
POSTRES LÁCTEOS
HUEVOS
ACEITE VEGETAL Y DE MARAVILLA
ACEITE DE OLIVA
MANTEQUILLA
MARGARINA
PALTAS
FRUTAS DE ESTACIÓN
PLÁTANOS
LIMONES
NARANJAS
MANZANAS
PERAS
FRUTOS SECOS
FRUTAS PRESERVADAS
VERDURAS DE ESTACIÓN
TOMATES
LECHUGAS
CEBOLLAS Y CEBOLLINES
ZAPALLOS
ZANAHORIAS
PIMIENTOS MORRONES
ZAPALLOS ITALIANOS
PAPAS
LEGUMBRES SECAS
VERDURAS CONGELADAS
PAPAS FRITAS
VERDURAS ENCURTIDAS
PAPAS CONGELADAS Y DESHIDRATADAS
HORTALIZAS EN CONSERVA
SUSTITUTOS VEGETALES DE CARNE
AZÚCAR
ENDULZANTES
MERMELADAS
POSTRES NO LÁCTEOS
CHOCOLATES
HELADOS
CARAMELOS Y GOMAS DE MASCAR
PLATOS PREPARADOS ADQUIRIDOS EN TIENDAS Y SUPERMERCADOS
ALIMENTOS PARA BEBÉ
ADEREZOS
SALSAS DE TOMATE
SAL
ALIÑOS
SUPLEMENTOS ALIMENTICIOS Y NUTRICIONALES
SOPAS Y CREMAS
MANJAR Y DULCES UNTABLES
JUGOS LÍQUIDOS
JUGOS EN POLVO
CAFÉ Y SUCEDÁNEOS
TÉ
AGUA EMBOTELLADA
BEBIDAS GASEOSAS
OTRAS BEBIDAS NO ALCOHÓLICAS
OTROS DESTILADOS
PISCOS
VINOS
CERVEZAS
CÓCTELES Y LICORES
CIGARRILLOS
PANTALONES PARA HOMBRE
CAMISAS Y POLERAS PARA HOMBRE
ROPA DE ABRIGO PARA HOMBRE
ROPA INTERIOR Y DE DORMIR PARA HOMBRE
"PANTALONES, FALDAS Y VESTIDOS PARA MUJER"
ROPA DE ABRIGO PARA MUJER
BLUSAS Y POLERAS PARA MUJER
"ROPA INTERIOR, DE BAÑO Y DE DORMIR PARA MUJER"
"PANTALONES, FALDAS Y VESTIDOS INFANTILES"
POLERAS INFANTILES
ROPA DE ABRIGO INFANTIL
"ROPA INTERIOR, DE BAÑO Y DE DORMIR INFANTIL"
VESTUARIO PARA LACTANTES
VESTUARIO ESCOLAR
ACCESORIOS DE VESTIR
SERVICIOS DE LIMPIEZA Y REPARACIÓN DE VESTUARIO
ZAPATILLAS PARA HOMBRE
ZAPATOS PARA HOMBRE
ZAPATILLAS PARA MUJER
CALZADO DE ESTACIÓN PARA MUJER
ZAPATOS PARA MUJER
ZAPATILLAS INFANTILES
CALZADO DE ESTACIÓN INFANTIL
MATERIALES PARA LA REPARACIÓN DE LA VIVIENDA
PINTURAS Y BARNICES
GRIFERIA Y ACCESORIOS
SELLANTES Y PEGAMENTOS
SERVICIOS PARA EL MANTENIMIENTO DE LA VIVIENDA
SERVICIOS DE ALARMA PARA LA VIVIENDA
GAS LICUADO
PARAFINA
OTROS COMBUSTIBLES DE USO DOMÉSTICO
CAMAS
MUEBLES PARA LIVING
MUEBLES PARA COCINA
MUEBLES PARA COMEDOR
COLCHONES
MUEBLES PARA ESCRITORIO
MUEBLES PARA JARDÍN Y EXTERIORES
ARTÍCULOS ORNAMENTALES
REPARACIÓN DE MUEBLES
TEXTILES PARA LIVING Y COMEDOR
TEXTILES PARA CAMA
TEXTILES PARA BAÑO Y COCINA
REFRIGERADORES
COCINAS
HORNOS ELÉCTRICOS Y MICROONDAS
LAVADORAS
ARTÍCULOS PARA CALEFACCIÓN DEL HOGAR
CALEFÓN
ASPIRADORAS
OTROS ARTEFACTOS GRANDES PARA EL HOGAR
ELECTRODOMÉSTICOS PEQUEÑOS DE COCINA
REPARACIÓN DE ARTEFACTOS PARA EL HOGAR
VAJILLA
UTENSILIOS DE COCINA
HERRAMIENTAS ELÉCTRICAS Y ACCESORIOS
HERRAMIENTAS MANUALES Y ACCESORIOS
PEQUEÑOS ACCESORIOS ELÉCTRICOS
DETERGENTES Y SUAVIZANTES PARA ROPA
DESINFECTANTES
ARTÍCULOS DE LIMPIEZA
LIMPIADORES MULTIUSO
LAVALOZAS
SERVILLETAS Y TOALLAS DE PAPEL
BOLSAS PLÁSTICAS
AROMATIZADORES
CLAVOS Y TORNILLOS
INSECTICIDAS
MEDICAMENTOS PARA EL APARATO DIGESTIVO Y METABÓLICO
MEDICAMENTOS PARA EL SISTEMA NERVIOSO CENTRAL
MEDICAMENTOS PARA EL SISTEMA GENITO-URINARIO Y HORMONAS
MEDICAMENTOS PARA EL SISTEMA RESPIRATORIO
MEDICAMENTOS PARA EL APARATO CARDIOVASCULAR
"MEDICAMENTOS ANTIINFLAMATORIOS NO CORTICOIDES, ANTIMIGRAÑOSOS Y SISTEMA OSTEO-MUSCULAR"
"MEDICAMENTOS DERMATOLÓGICOS, DESINFECTANTES Y ANTISÉPTICOS"
"MEDICAMENTOS ANTIINFECCIOSOS, ANTIVIRALES Y ANTIFUNGICOS"
PREPARADOS OFTALMOLÓGICOS
"MEDICAMENTOS PARA EL TRATAMIENTO DEL CÁNCER, MODIFICADORES DEL SISTEMA INMUNE Y FÁRMACOS UTILIZADOS EN LOS CUIDADOS PALIATIVOS DEL DOLOR"
PRODUCTOS HOMEOPÁTICOS
PRODUCTOS PARA LA CURACIÓN DE HERIDAS
PRODUCTOS DE DIAGNÓSTICO MÉDICO
PRESERVATIVOS
LENTES ÓPTICOS
PRODUCTOS DE ASISTENCIA PARA LA AUDICIÓN Y LA COMUNICACIÓN
ARTÍCULOS ORTOPÉDICOS
SERVICIOS DENTALES
CONSULTAS MÉDICAS
PROCEDIMIENTOS E INTERVENCIONES AMBULATORIAS
SERVICIOS DE HOSPITALIZACIÓN
EXÁMENES DE IMAGENOLOGÍA Y RADIOLOGÍA
EXÁMENES DE LABORATORIO CLÍNICO
AUTOMÓVILES NUEVOS
AUTOMÓVILES USADOS
MOTOCICLETAS
BICICLETAS
NEUMÁTICOS
REPUESTOS MECÁNICOS PARA EL AUTOMÓVIL
REPUESTOS ELÉCTRICOS PARA EL AUTOMÓVIL
ACCESORIOS PARA VEHÍCULOS PERSONALES
PETRÓLEO DIÉSEL
GASOLINA
MANTENCIÓN Y REPARACIÓN DE VEHÍCULOS PERSONALES
SERVICIOS DE LAVADO DEL AUTOMÓVIL
SERVICIOS DE ESTACIONAMIENTO
REVISIÓN TÉCNICA DEL AUTOMÓVIL
LICENCIAS DE CONDUCIR
TRANSPORTE EN MICROBUS
SERVICIO DE TRANSPORTE EN BUS INTERURBANO
TRANSPORTE EN TAXI COLECTIVO
TRANSPORTE PRIVADO DE PASAJEROS
TRANSPORTE ESCOLAR
ENVÍO DE BIENES Y PAQUETERÍA
COMPUTADORES
TELEVISORES
AUDÍFONOS Y PARLANTES
DISPOSITIVOS Y ACCESORIOS TECNOLÓGICOS
SUSCRIPCIÓN A CONTENIDOS AUDIOVISUALES
EQUIPOS DE JUEGOS PARA RECREACIÓN
CONSOLAS DE VIDEOJUEGOS
VIDEOJUEGOS
JUGUETES
ARTÍCULOS PARA CELEBRACIONES
EQUIPOS E IMPLEMENTOS DEPORTIVOS
ARTÍCULOS DE CAMPING Y RECREACIÓN
PLANTAS Y PRODUCTOS DE JARDINERÍA
ARREGLOS FLORALES
ALIMENTOS PARA MASCOTAS
ACCESORIOS PARA MASCOTAS
