Fuente,DIVISION,GRUPO,CLASE,SUBCLASE,PRODUCTO,variedad,Glosa_Producto,pm_Enero2016,pm_Febrero2016,pm_Marzo2016,pm_Abril2016,pm_Mayo2016,pm_Junio2016,pm_Julio2016,pm_Agosto2016,pm_Septiembre2016,pm_Octubre2016,pm_Noviembre2016,pm_Diciembre2016,pm_16_enero2016,Reemplaza_enero2016,pm_16_febrero2016,Reemplaza_febrero2016,pm_16_marzo2016,Reemplaza_marzo2016,pm_16_Abril2016,Reemplaza_Abril2016,pm_16_mayo2016,Reemplaza_mayo2016,pm_16_Junio2016,Reemplaza_Junio2016,pm_16_Julio2016,Reemplaza_Julio2016,pm_16_Agosto2016,Reemplaza_Agosto2016,pm_16_Septiembre2016,Reemplaza_Septiembre2016,pm_16_Octubre2016,Reemplaza_Octubre2016,pm_16_Noviembre2016,Reemplaza_Noviembre2016,pm_16_Diciembre2016,Reemplaza_Diciembre2016,Estado_lev_Enero2016,Estado_lev_Febrero2016,Estado_lev_marzo2016,Estado_lev_Abril2016,Estado_lev_Mayo2016,Estado_lev_Junio2016,Estado_lev_Julio2016,Estado_lev_Agosto2016,Estado_lev_Septiembre2016,Estado_lev_octubre2016,Estado_lev_Noviembre2016,Estado_lev_Diciembre2016,Cantidad_Ene2016,Unidad_Ene2016,Cantidad_Feb2016,Unidad_Feb2016,Cantidad_Mar2016,Unidad_Mar2016,Cantidad_Abr2016,Unidad_Abr2016,Cantidad_May2016,Unidad_May2016,Cantidad_Jun2016,Unidad_Jun2016,Cantidad_Jul2016,Unidad_Jul2016,Cantidad_Ago2016,Unidad_Ago2016,Cantidad_Sep2016,Unidad_Sep2016,Cantidad_Oct2016,Unidad_Oct2016,Cantidad_Nov2016,Unidad_Nov2016,Cantidad_Dic2016,Unidad_Dic2016,Oferta_11Ene2016,Oferta_11Feb2016,Oferta_11Mar2016,Oferta_11Abr2016,Oferta_11May2016,Oferta_11Jun2016,Oferta_11Jul2016,Oferta_11Ago2016,Oferta_11Sep2016,Oferta_11Oct2016,Oferta_11Nov2016,Oferta_11Dic2016
900,5,1,1,1,2,1,COLCHÓN,"149990,00","89990,00","89990,00","99990,00","99990,00","94990,00","94990,00","94990,00","94990,00","94990,00","99990,00","109990,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
5356,5,1,1,1,5,2,MUEBLES PARA LIVING,"149990,00","149990,00","0,00","279990,00","149990,00","149990,00","0,00","149990,00","279990,00","279990,00","279990,00","279990,00","0,00",NO,"0,00",NO,"279990,00",Si,"149990,00",Si,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
5357,5,1,1,1,5,2,MUEBLES PARA LIVING,"149990,00","149990,00","149990,00","149990,00","149990,00","149990,00","149990,00","149990,00","149990,00","149990,00","149990,00","149990,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
5351,5,1,1,1,5,2,MUEBLES PARA LIVING,"149990,00","139990,00","139990,00","147990,00","0,00","89990,00","89990,00","89990,00","89990,00","0,00","89990,00","89990,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"89990,00",Si,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
913,5,1,1,1,5,2,MUEBLES PARA LIVING,"149990,00","144990,00","149990,00","149990,00","149990,00","111500,00","0,00","149500,00","149500,00","149990,00","149990,00","149500,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
928,5,1,1,1,5,2,MUEBLES PARA LIVING,"149990,00","149990,00","149990,00","0,00","129990,00","129990,00","129990,00","129990,00","129990,00","99990,00","99990,00","99990,00","0,00",NO,"0,00",NO,"0,00",NO,"129990,00",Si,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
920,5,1,1,1,5,2,MUEBLES PARA LIVING,"149990,00","149990,00","149990,00","0,00","0,00","159990,00","159990,00","159990,00","159990,00","0,00","449990,00","449990,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"159990,00",Si,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"449990,00",Si,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
5329,5,1,1,1,5,2,MUEBLES PARA LIVING,"149990,00","149990,00","149990,00","149990,00","149990,00","149990,00","149990,00","149990,00","149990,00","0,00","0,00","249990,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"249990,00",Si,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
5337,5,1,1,1,5,2,MUEBLES PARA LIVING,"149990,00","149990,00","149990,00","0,00","129990,00","129990,00","129990,00","129990,00","129990,00","99990,00","99990,00","99990,00","0,00",NO,"0,00",NO,"0,00",NO,"129990,00",Si,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
5347,5,1,1,1,5,2,MUEBLES PARA LIVING,"149990,00","149990,00","149990,00","179990,00","179500,00","0,00","199990,00","199990,00","209990,00","179990,00","209990,00","184990,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"189990,00",Si,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
5348,5,1,1,1,5,2,MUEBLES PARA LIVING,"149990,00","149990,00","149990,00","149990,00","0,00","149990,00","149990,00","149990,00","279990,00","279990,00","279990,00","279990,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
5340,5,1,1,1,5,1,MUEBLES PARA LIVING,"149990,00","149990,00","199990,00","199990,00","149990,00","349990,00","149990,00","349990,00","349990,00","349990,00","349990,00","0,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"349990,00",Si,"149990,00",Si,"349990,00",Si,"0,00",NO,"0,00",NO,"0,00",NO,"149990,00",Si,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
5342,5,1,1,1,5,1,MUEBLES PARA LIVING,"149990,00","149990,00","149990,00","169990,00","0,00","0,00","159990,00","159990,00","149990,00","149990,00","0,00","219990,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"159990,00",Si,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"219990,00",Si,"109990,00",Si,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
5366,5,1,1,1,5,1,MUEBLES PARA LIVING,"149990,00","149990,00","169990,00","169990,00","169990,00","169990,00","159990,00","159990,00","0,00","99990,00","0,00","99990,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"99990,00",Si,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
912,5,1,1,1,5,1,MUEBLES PARA LIVING,"149990,00","149990,00","0,00","299990,00","259990,00","299990,00","159990,00","0,00","0,00","299990,00","249990,00","249990,00","0,00",NO,"0,00",NO,"349990,00",Si,"0,00",NO,"0,00",NO,"159990,00",Si,"349990,00",Si,"0,00",NO,"299990,00",Si,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,0.0,UNI,0.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
904,5,1,1,1,5,1,MUEBLES PARA LIVING,"149990,00","149990,00","149990,00","149990,00","149990,00","0,00","0,00","0,00","299990,00","299990,00","329990,00","299990,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"159990,00",Si,"0,00",NO,"0,00",NO,"299990,00",Si,"299990,00",Si,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
922,5,1,1,1,5,1,MUEBLES PARA LIVING,"149990,00","149990,00","149990,00","149990,00","149990,00","149990,00","149990,00","149990,00","149990,00","149990,00","149990,00","149990,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
927,5,1,1,1,5,1,MUEBLES PARA LIVING,"149990,00","149990,00","149990,00","169990,00","169990,00","159990,00","159990,00","159990,00","0,00","89990,00","89990,00","89990,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"89990,00",Si,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
930,5,1,1,1,5,1,MUEBLES PARA LIVING,"149990,00","0,00","0,00","119990,00","119990,00","119990,00","99990,00","99990,00","0,00","0,00","0,00","0,00","0,00",NO,"0,00",NO,"119990,00",Si,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
