id_osm,lat,lon,nombre_estacion,accesibilidad,fecha_inauguracion
2307244234,-33.4461853,-70.6604458,Los Héroes,,1975-09-15
2390287915,-33.3654303,-70.6919903,Los Libertadores,yes,2019-01-22
2776463407,-33.4834342,-70.6955562,Cerrillos,,
3391796062,-33.4448711,-70.6548709,La Moneda,,1975-09-15
3587889955,-33.5099332,-70.7573092,Plaza de Maipú,yes,2011-02-03
3670590083,-33.4784048,-70.6809001,Lo Valledor,,
3932022758,-33.4623809,-70.6062176,Estadio Nacional,yes,2017-11-02
4519746485,-33.4515804,-70.7226828,Neptuno,no,1975-09-15
4519756994,-33.4766603,-70.6494774,Franklin,,1978-03-31
4530413430,-33.5465722,-70.6667515,El Bosque,yes,2023-11-27
4530419351,-33.560404,-70.6705486,Observatorio,yes,2023-11-27
4530419352,-33.5706669,-70.6733824,Copa Lo Martínez,yes,2023-11-27
4530419353,-33.5828788,-70.6768121,Hospital El Pino,yes,2023-11-27
4530436046,-33.3654667,-70.7055375,Ferrocarril,yes,2023-09-25
4530436047,-33.3668342,-70.719772,Lo Cruzat,yes,2023-09-25
4530436048,-33.3657194,-70.7288942,Plaza Quilicura,yes,2023-09-25
4550281347,-33.4513929,-70.6505616,Parque Almagro,no,2019-01-22
4593692288,-33.4993359,-70.6158257,San Joaquín,,1997-04-05
5227884071,-33.422019,-70.6085607,Los Leones,yes,1980-08-31
5564321725,-33.5373498,-70.6643328,La Cisterna,yes,2004-12-22
6228531275,-33.4582698,-70.6430769,Matta,,2019-01-22
6228531279,-33.4176739,-70.6564558,Hospitales,,2019-01-22
6228531280,-33.4067715,-70.6609686,Plaza Chacabuco,,2019-01-22
6228531283,-33.3978904,-70.6695999,Conchalí,,2019-01-22
6228531486,-33.3853813,-70.6796401,Vivaceta,yes,2019-01-22
6228531487,-33.3732586,-70.6863362,Cardenal Caro,yes,2019-01-22
6231367141,-33.4374154,-70.6512777,Plaza de Armas,yes,2000-03-02
6506316370,-33.4328384,-70.6530774,Puente Cal y Canto,yes,1987-09-15
6506316372,-33.443867,-70.6506654,Universidad de Chile,yes,1977-03-31
6506316374,-33.4550535,-70.6283154,Irarrázaval,,1997-04-05
6506316376,-33.4541894,-70.604972,Ñuñoa,yes,2017-11-02
6506316379,-33.4534937,-70.570823,Plaza Egaña,,2005-11-30
6512675039,-33.4521007,-70.558107,Fernando Castillo Velasco,yes,2019-01-22
6514737770,-33.5264186,-70.5967924,Vicente Valdés,yes,2005-11-30
6514765510,-33.5197638,-70.5962095,Vicuña Mackenna,yes,2005-11-30
